"Pressure, bar","Simulated Angular Frequency Width, /s","Theoretical Angular Frequency Width, /s"
1.0,423295253036228.3,373649423822153.1
1.1414141414141414,427540344110134.5,426453034816017.5
1.2828282828282829,462770958222832.9,479247803775655.56
1.4242424242424243,524465869218544.56,532033732141600.9
1.5656565656565657,551112738691553.75,584810821355566.4
1.7070707070707072,582840721391046.9,637579072860434.1
1.8484848484848484,623299933262932.9,690338488100239.9
1.9898989898989898,656987174664055.6,743089068520161.8
2.1313131313131315,686186999347553.8,795830815566505.2
2.2727272727272725,717755585449524.4,848563730686694.2
2.4141414141414144,750238221778465.5,901287815329255.1
2.5555555555555554,781055354249898.9,954003070943805.8
2.696969696969697,811683298755285.5,1006709498981042.2
2.8383838383838382,841291351214411.4,1059407100892726.0
2.9797979797979797,871108254023350.2,1112095878131673.8
3.121212121212121,899958391403824.5,1164775832151741.5
3.2626262626262625,928920510252111.6,1217446964407816.0
3.404040404040404,957053886523519.5,1270109276355800.2
3.5454545454545454,985435100969238.9,1322762769452602.2
3.686868686868687,1013202903789082.0,1375407445156122.8
3.8282828282828283,1040383428729448.4,1428043304925242.0
3.9696969696969697,1066930780157375.6,1480670350219810.2
4.111111111111111,1093261032562864.4,1533288582500634.0
4.252525252525253,1119316779585958.4,1585898003229466.5
4.393939393939394,1144874687393129.5,1638498613868992.2
4.535353535353535,1170090117579453.0,1691090415882817.5
4.6767676767676765,1194953204420801.5,1743673410735460.5
4.818181818181818,1220271714297053.8,1796247599892337.2
4.959595959595959,1244966981834333.2,1848812984819747.8
5.101010101010101,1269668286099817.8,1901369566984874.5
5.242424242424242,1294171306296764.2,1953917347855756.5
5.383838383838384,1319019685105310.5,2006456328901292.0
5.525252525252525,1343399344087717.0,2058986511591216.8
5.666666666666666,1367279125864219.8,2111507897396099.2
5.808080808080808,1391275817404426.5,2164020487787328.0
5.949494949494949,1414534489159763.0,2216524284237096.8
6.090909090909091,1437314256990111.5,2269019288218401.0
6.232323232323232,1459502803489647.0,2321505501205017.5
6.373737373737374,1481125188163650.8,2373982924671506.5
6.515151515151515,1502020163015419.8,2426451560093186.0
6.656565656565657,1522067024678463.8,2478911408946130.5
6.797979797979798,1541992677177313.2,2531362472707156.5
6.9393939393939394,1560787573626911.5,2583804752853819.5
7.08080808080808,1579293308344493.0,2636238250864390.0
7.222222222222222,1596732252506654.0,2688662968217853.0
7.363636363636363,1613878059565128.8,2741078906393894.0
7.505050505050505,1630438702713066.8,2793486066872892.0
7.646464646464646,1646287154641155.8,2845884451135905.0
7.787878787878787,1661535051361028.5,2898274060664660.0
7.929292929292929,1676214046124394.8,2950654896941547.0
8.07070707070707,1690287215085787.2,3003026961449604.5
8.212121212121211,1703614399307478.8,3055390255672510.0
8.353535353535353,1715929675496168.8,3107744781094574.0
8.494949494949495,1727026020398067.2,3160090539200720.5
8.636363636363637,1736385662498508.2,3212427531476494.5
8.777777777777779,1742847894710154.5,3264755759408028.0
8.919191919191919,1746155425719826.0,3317075224482054.0
9.06060606060606,1747488370259126.2,3369385928185885.5
9.202020202020202,1747323275234416.5,3421687872007394.5
9.343434343434343,1747443430421584.2,3473981057435030.5
9.484848484848484,1750393787684913.5,3526265485957780.5
9.626262626262626,1755758639448243.0,3578541159065188.5
9.767676767676768,1762663710272048.0,3630808078247317.5
9.909090909090908,1770034203743167.2,3683066244994760.5
10.05050505050505,1777098344903750.0,3735315660798627.0
10.191919191919192,1783861013975917.0,3787556327150524.0
10.333333333333332,1790735737927255.2,3839788245542557.5
10.474747474747474,1797927486267833.5,3892011417467324.0
10.616161616161616,1804992104061259.0,3944225844417892.0
10.757575757575758,1811818564667199.0,3996431527887800.0
10.898989898989898,1818479029819308.2,4048628469371043.5
11.04040404040404,1825023878979472.0,4100816670362070.5
11.181818181818182,1831616159957689.2,4152996132355769.0
11.323232323232324,1837978321353149.8,4205166856847461.5
11.464646464646464,1844169747278995.0,4257328845332891.0
11.606060606060606,1850151078247319.8,4309482099308215.0
11.747474747474747,1856040051564044.2,4361626620270004.0
11.88888888888889,1861905687540478.2,4413762409715217.0
12.03030303030303,1867515862654901.8,4465889469141204.5
12.171717171717171,1872908642003727.2,4518007800045703.0
12.313131313131313,1878365894776553.0,4570117403926811.0
12.454545454545453,1883524750172854.0,4622218282282999.0
12.595959595959595,1888778182721274.2,4674310436613088.0
12.737373737373737,1893577116813404.8,4726393868416252.0
12.878787878787879,1898620385149942.2,4778468579191985.0
13.020202020202019,1903070931908653.5,4830534570440140.0
13.16161616161616,1907727761885197.8,4882591843660866.0
13.303030303030303,1912161300306737.5,4934640400354643.0
13.444444444444445,1916486228461697.0,4986680242022243.0
13.585858585858585,1920794551797443.0,5038711370164750.0
13.727272727272727,1924937641110124.8,5090733786283525.0
13.868686868686869,1929038426708144.8,5142747491880220.0
14.01010101010101,1932850072192100.8,5194752488456756.0
14.15151515151515,1936666300143154.5,5246748777515320.0
14.292929292929292,1940411921820108.8,5298736360558359.0
14.434343434343434,1944066419408907.2,5350715239088579.0
14.575757575757574,1947628844491158.2,5402685414608910.0
14.717171717171716,1951114290587580.8,5454646888622533.0
14.858585858585858,1954565784252728.2,5506599662632850.0
15.0,1957894744997492.0,5558543738143489.0
