"Core radius, um","Simulated Angular Frequency Width, /s","Theoretical Angular Frequency Width, /s"
50.0,6334865079853509.0,5461704646932759.0
54.54545454545455,6167909535324452.0,4589349043603223.0
59.09090909090909,5893180997099978.0,3910451256087952.0
63.63636363636364,6153432899511443.0,3371766644279919.0
68.18181818181819,5734605785014382.0,2937183387906062.5
72.72727272727273,4981297569293919.0,2581508837026813.0
77.27272727272727,4644377199528544.0,2286734471553163.0
81.81818181818181,3707801313541074.5,2039710686045877.2
86.36363636363637,2855488841683887.0,1830654466146437.8
90.9090909090909,1605634303572498.2,1652165655697160.5
95.45454545454547,1366035939497670.5,1498562953013297.2
100.0,1192560317416821.2,1365426161733189.8
104.54545454545455,1065245454658367.9,1249274597880650.2
109.0909090909091,967127426913397.4,1147337260900805.8
113.63636363636364,886112183428796.6,1057386019646182.8
118.18181818181819,818402986275072.2,977612814021988.0
122.72727272727272,759718986667507.1,906538082687056.5
127.27272727272728,708794708584825.1,842941661069979.8
131.8181818181818,664387299199287.1,785810062162739.8
136.36363636363637,625961890914750.2,734295846976515.6
140.9090909090909,591497032920199.0,687686016939504.9
145.45454545454547,558444534505059.75,645377209256703.2
150.0,528653546908650.1,606856071881417.8
154.54545454545453,503712547978237.6,571683617888290.8
159.0909090909091,478174951933788.5,539482663084787.0
163.63636363636363,457342611461111.6,509927671511469.3
168.1818181818182,434758671580265.06,482736495455707.9
172.72727272727272,417145100834939.6,457663616536609.44
177.27272727272728,398504605881683.5,434494584009772.5
181.8181818181818,383269736716068.8,413041413924290.1
186.36363636363637,367441650996489.56,393138763996944.7
190.9090909090909,351741442542447.8,374640738253324.3
195.45454545454544,338587806423506.94,357418205667314.3
200.0,326510881281567.6,341356540433297.44
204.54545454545453,314494706406432.75,326353709767340.4
209.0909090909091,302316694700597.8,312318649470162.56
213.63636363636363,292242821689999.1,299169878804375.0
218.1818181818182,282886393045210.3,286834315225201.44
222.72727272727272,273652924657261.3,275246256675911.72
227.27272727272728,264521797549232.25,264346504911545.7
231.8181818181818,255610976360670.28,254081607950351.47
236.36363636363637,247527846093243.12,244403203505497.2
240.9090909090909,240148385551708.16,235267448301482.4
245.45454545454544,233778290273679.53,226634520671764.12
250.0,227099597104084.25,218468185877310.44
254.54545454545456,220344323058543.25,210735415267494.94
259.0909090909091,214301838134523.12,203406051794048.6
263.6363636363636,208530327211903.06,196452515540684.94
268.1818181818182,202596464688521.47,189849543889360.6
272.72727272727275,197090676427375.6,183573961744128.9
277.2727272727273,192897816695198.62,177604477903484.03
281.81818181818187,188128432237510.3,171921504234876.2
286.3636363636364,183824804081861.84,166506994779255.28
290.90909090909093,180535954525550.06,161344302314175.8
295.4545454545455,175440969103576.84,156418050243518.12
300.0,171345042443696.97,151714017970354.44
304.54545454545456,167797411100043.5,147219038155238.12
309.0909090909091,164102913075552.72,142920904472072.66
313.6363636363636,160515752420141.06,138808288653405.6
318.1818181818182,157219212210098.16,134870665771196.75
322.72727272727275,154100954371079.5,131098246831752.45
327.2727272727273,150866902461093.34,127481917877867.27
331.8181818181818,148264829352453.75,124013184890010.16
336.3636363636364,145673557399592.9,120684123863926.97
340.90909090909093,143204746417409.44,117487335516242.5
345.4545454545455,140798544711018.8,114415904134152.36
350.00000000000006,138492282015339.36,111463360141484.89
354.54545454545456,136296562347708.55,108623646002443.12
359.0909090909091,134226041736446.89,105891085127201.4
363.6363636363637,132219701074656.0,103260353481072.52
368.18181818181824,130239166508127.64,100726453631895.11
372.72727272727275,128686478073852.1,98284690999236.17
377.2727272727273,126241285872641.47,95930652094478.75
381.81818181818187,124656712790538.98,93660184563331.08
386.3636363636364,123080006138931.67,91469378862126.5
390.90909090909093,121334477214239.5,89354551416828.55
395.45454545454544,119756134597844.69,87312229129193.31
400.0,118339714113809.53,85339135108324.36
404.54545454545456,116661715507403.86,83432175518099.23
409.0909090909091,115519405574493.22,81588427441835.08
413.6363636363636,113922421072778.95,79805127675264.34
418.1818181818182,112906133968171.75,78079662367540.64
422.72727272727275,111487440267771.9,76409557437722.73
427.2727272727273,111170125454503.4,74792469701093.72
431.81818181818187,109365917025612.25,73226178645857.52
436.3636363636364,108080156452884.75,71708578806300.36
440.90909090909093,107286912487442.23,70237672683480.07
445.4545454545455,106274790921086.83,68811564168977.93
450.00000000000006,105141595455751.25,67428452431268.66
454.5454545454546,104702601748696.05,66086626227886.38
459.0909090909091,103614348679926.97,64784458609828.85
463.6363636363637,102731600815152.75,63520401987587.87
468.18181818181824,101794775864641.0,62292983530857.195
472.72727272727275,101030454175250.33,61100800876374.25
477.27272727272725,100677041776352.25,59942518120531.9
481.8181818181818,99775802514036.73,58816862075370.6
486.3636363636364,99112960311185.17,57722618768352.17
490.9090909090909,98457018465021.14,56658630167941.03
495.45454545454544,97801012455849.77,55623791118497.1
500.0,97163989435988.78,54617046469327.61
