"Power, W","Central wavelength, m","FWHM frequency, /s"
1.2,7.981730982447669e-07,122781352759474.33
1.1,7.978422577683852e-07,123463465335311.19
1.0,7.980321241253136e-07,123301150396289.5
0.9,7.977342510305401e-07,125488660091075.73
0.8,7.978509539310393e-07,124652913169616.44
0.7,7.977773632762804e-07,125447523493597.34
0.6,7.977295546534236e-07,125878274798420.14
0.5,7.977508751369174e-07,126787775171159.7
0.4,7.979929997016614e-07,124043780637990.27
0.3,7.97926303020172e-07,125926453855613.02
