"GDD, fs^2","Simulated RMS Width, nm"
-500.00000000000006,758.7354252620089
-489.89898989898995,760.6584875415265
-479.79797979797985,764.4234365185008
-469.6969696969697,766.314522415985
-459.5959595959596,771.5776856692992
-449.4949494949495,772.0842077255191
-439.39393939393943,773.9864640217738
-429.29292929292933,777.1416656198418
-419.1919191919192,778.2847959277145
-409.0909090909092,781.7546496965555
-398.98989898989896,782.7983347733193
-388.8888888888889,786.1335402861017
-378.7878787878788,787.0777045125395
-368.6868686868687,790.3249289952105
-358.5858585858586,791.155873826419
-348.4848484848485,794.2704362112968
-338.3838383838384,795.6270067302776
-328.2828282828283,797.7294098544169
-318.1818181818182,802.6348326185087
-308.08080808080814,800.4992939774398
-297.979797979798,803.1241534674352
-287.87878787878793,804.0563177145067
-277.77777777777777,805.8245316630134
-267.67676767676767,807.6495873402113
-257.5757575757576,808.1234158517076
-247.47474747474746,810.1276907683957
-237.37373737373738,811.7546690769295
-227.2727272727273,812.5420147521105
-217.17171717171718,813.3848393190641
-207.07070707070707,815.3214811026
-196.969696969697,816.2100697748302
-186.86868686868686,816.353995972101
-176.7676767676768,817.4273936741257
-166.66666666666669,819.0246674272742
-156.56565656565655,819.7985568577561
-146.46464646464648,821.8836608753649
-136.36363636363637,820.131886232866
-126.26262626262626,820.7624884742123
-116.16161616161617,821.8670208245185
-106.06060606060609,822.6691490495373
-95.95959595959596,823.0622905376264
-85.85858585858587,823.2397012050802
-75.75757575757578,826.4161749028547
-65.65656565656569,824.3415323830593
-55.55555555555552,823.3370724890656
-45.45454545454543,822.861626738089
-35.35353535353535,822.6095838710845
-25.25252525252526,822.4156018902868
-15.151515151515174,822.200551687122
-5.050505050505088,821.9301826006616
5.050505050505088,821.6081453114224
15.151515151515174,821.276213208806
25.25252525252526,821.0315932028725
35.35353535353535,821.0627235813797
45.45454545454543,821.716895681561
55.55555555555552,819.934969831034
65.65656565656569,819.253760102847
75.75757575757578,818.5535758011147
85.85858585858587,817.5950623974263
95.95959595959596,816.2173751641861
106.06060606060603,814.6238006783003
116.16161616161612,813.7854110430764
126.2626262626263,815.938429038063
136.36363636363637,812.3749172556265
146.46464646464648,811.0101082641942
156.56565656565655,808.8628106003664
166.66666666666666,807.8551813013298
176.76767676767682,806.9672423444597
186.86868686868692,805.5680742870359
196.969696969697,803.0476008177313
207.07070707070707,802.7655998345491
217.17171717171718,800.8574931894849
227.27272727272725,798.5245251814813
237.37373737373744,796.7520998550181
247.47474747474752,795.5364613623474
257.5757575757576,792.9647439659602
267.67676767676767,791.8567233193797
277.77777777777777,789.7161345694907
287.8787878787879,786.4079393486908
297.97979797979804,785.3117607235341
308.08080808080814,782.7235992713901
318.18181818181813,781.4101021899183
328.2828282828283,778.4716379247175
338.38383838383845,775.1627401026288
348.48484848484844,773.5680711580613
358.58585858585866,769.7055385815606
368.68686868686865,768.2204431254734
378.7878787878788,764.1493343875236
388.88888888888897,762.4863092538473
398.98989898989896,758.4064958061863
409.0909090909092,756.270389466531
419.19191919191917,753.1126142268218
429.29292929292933,749.3228999276485
439.3939393939393,746.0914456593717
449.4949494949495,741.5241063472272
459.5959595959597,738.9380703995345
469.6969696969697,734.2899366063783
479.79797979797985,730.6715465472059
489.89898989898984,726.8338904397214
500.00000000000006,721.3839063248099
